"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","unique_id","Best_match_overall_score","Best_match_highertaxa"
"1","Betula lenta L.","1","329014","Betula lenta","1","species","L.","L.","1","L.","Betulaceae","Betula","Betula","1","lenta","lenta","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000334091","","Y","Accepted","Betula lenta","Betula lenta","L.","329014","species","https://www.worldfloraonline.org/taxon/wfo-0000334091","","Betulaceae","1","1","wfo","","1",true,true
"1","Betula lenta L.","0.8","329003","Betula lenta","1","species","L.","Du Roi","0","Du Roi","Betulaceae","Betula","Betula","1","lenta","lenta","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000334080","","Y","Synonym","Betula pubescens var. pubescens","Betula pubescens","","331132","variety","https://www.worldfloraonline.org/taxon/wfo-0000336212","","Betulaceae","2","2","wfo","","1",false,false
"2","Vaccinium angustifolium Aiton","1","417184","Vaccinium angustifolium","1","species","Aiton","Aiton","1","Aiton","Ericaceae","Vaccinium","Vaccinium","1","angustifolium","angustifolium","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000422967","","Y","Accepted","Vaccinium angustifolium","Vaccinium angustifolium","Aiton","417184","species","https://www.worldfloraonline.org/taxon/wfo-0000422967","","Ericaceae","1","1","wfo","","2",true,true
"2","Vaccinium angustifolium Aiton","0.8","417185","Vaccinium angustifolium","1","species","Aiton","Benth.","0","Benth.","Ericaceae","Vaccinium","Vaccinium","1","angustifolium","angustifolium","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000422968","","Y","Synonym","Vaccinium stenophyllum","Vaccinium stenophyllum","Steud.","416721","species","https://www.worldfloraonline.org/taxon/wfo-0000422502","","Ericaceae","2","2","wfo","","2",false,false
"3","Trientalis borealis Raf. ssp. borealis","0.96021221090168","1090934","Trientalis borealis fo.rm borealis","0.96021221090168","forma","","","","","Primulaceae","Trientalis","Trientalis","1","borealis","borealis","1","","","","fo.rm","borealis","0.7","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001105451","","Y","Synonym","Lysimachia borealis","Lysimachia borealis","(Raf.) U.Manns & Anderb.","736286","species","https://www.worldfloraonline.org/taxon/wfo-0000744187","","Primulaceae","1","1","wfo","","3",true,true
"3","Trientalis borealis Raf. ssp. borealis","0.96021221090168","1090932","Trientalis borealis var. borealis","0.96021221090168","variety","","","","","Primulaceae","Trientalis","Trientalis","1","borealis","borealis","1","","","","var.","borealis","0.7","","","","","","https://www.worldfloraonline.org/taxon/wfo-0001105449","","Y","Synonym","Lysimachia borealis","Lysimachia borealis","(Raf.) U.Manns & Anderb.","736286","species","https://www.worldfloraonline.org/taxon/wfo-0000744187","","Primulaceae","2","2","wfo","","3",false,false
"4","Tsuga canadensis (L.) Carriere","0.97596","450324","Tsuga canadensis","1","species","(L.) Carriere","(L.) Carrière","0.8798","(L.) Carrière","Pinaceae","Tsuga","Tsuga","1","canadensis","canadensis","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000456302","","Y","Accepted","Tsuga canadensis","Tsuga canadensis","(L.) Carrière","450324","species","https://www.worldfloraonline.org/taxon/wfo-0000456302","","Pinaceae","1","1","wfo","","4",true,true
"5","Aralia nudicaulis L.","1","253544","Aralia nudicaulis","1","species","L.","L.","1","L.","Araliaceae","Aralia","Aralia","1","nudicaulis","nudicaulis","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000258460","","Y","Accepted","Aralia nudicaulis","Aralia nudicaulis","L.","253544","species","https://www.worldfloraonline.org/taxon/wfo-0000258460","","Araliaceae","1","1","wfo","","5",true,true
"5","Aralia nudicaulis L.","0.8","253535","Aralia nudicaulis","1","species","L.","Blume","0","Blume","Araliaceae","Aralia","Aralia","1","nudicaulis","nudicaulis","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000258451","","Y","Synonym","Aralia cordata","Aralia cordata","Thunb.","251858","species","https://www.worldfloraonline.org/taxon/wfo-0000256758","","Araliaceae","2","2","wfo","","5",false,false
"6","Coptis trifolia (L.) Salisb.","0.90514","612855","Coptis trifolia","1","species","(L.) Salisb.","Salisb.","0.5257","Salisb.","Ranunculaceae","Coptis","Coptis","1","trifolia","trifolia","1","","","","","","","","","","","","https://www.worldfloraonline.org/taxon/wfo-0000619881","","Y","Accepted","Coptis trifolia","Coptis trifolia","Salisb.","612855","species","https://www.worldfloraonline.org/taxon/wfo-0000619881","","Ranunculaceae","1","1","wfo","","6",true,true
