Band_code,Band_num,WL_code,WL_num,Pval_cat,nSIM,K_obs,K_pval,K_sim_mean,K_sim_SD,K_sim_SES,K_BM_pval,K_BM_mean,K_BM_SD,K_BM_SES,species,extra_y,Blomberg's K
band5_402nm,band5,402nm,402,no_diff,1000,0.04963563611091913,0.3100000000000002,0.04222854216127041,0.02151997363478579,0.34419623719592196,9.99000999000999e-4,0.9704588851818748,0.6916820151299405,-1.3312811796877042,no_diff,0.15,0.04963563611091913
band6_407nm,band6,407nm,407,no_diff,1000,0.05640271541881114,0.20900000000000016,0.0415914987902632,0.02005026058032964,0.7387044457206969,9.99000999000999e-4,0.9925113256870204,0.7109518983587252,-1.3166975324621424,no_diff,0.15,0.05640271541881114
band7_412nm,band7,412nm,412,no_diff,1000,0.05640170155223978,0.20700000000000016,0.04219406262672402,0.02114837987708322,0.6718074390611555,9.99000999000999e-4,1.0222036252301874,0.7173399190537,-1.3463657856264484,no_diff,0.15,0.05640170155223978
band8_417nm,band8,417nm,417,no_diff,1000,0.05611103032886112,0.22700000000000017,0.0430723311476896,0.0232911525660524,0.5598133945580624,9.99000999000999e-4,1.0190197871596902,0.792048350785929,-1.2157196664513723,no_diff,0.15,0.05611103032886112
band9_422nm,band9,422nm,422,no_diff,1000,0.05960076800600986,0.19100000000000017,0.04376608467311657,0.02315735167490649,0.6837864517146791,9.99000999000999e-4,0.9812615667394476,0.7097212734948636,-1.298623605003307,no_diff,0.15,0.05960076800600986
band10_427nm,band10,427nm,427,no_diff,1000,0.06244863208771519,0.1220000000000001,0.04061132300779042,0.01863835058555658,1.1716331324321771,9.99000999000999e-4,0.9907336466094744,0.7314090525715721,-1.2691735373769135,no_diff,0.15,0.06244863208771519
band11_432nm,band11,432nm,432,no_diff,1000,0.06504787678135991,0.1360000000000001,0.04200876717327702,0.02215778606691603,1.0397748917019636,9.99000999000999e-4,0.9821613533033172,0.7457438876339156,-1.229796840081064,no_diff,0.15,0.06504787678135991
band12_437nm,band12,437nm,437,no_diff,1000,0.06773499165221876,0.1240000000000001,0.04270506836625445,0.02255929437149656,1.1095171184781984,9.99000999000999e-4,0.9974848954130814,0.7817746658546717,-1.1892811885179442,no_diff,0.15,0.06773499165221876
band13_442nm,band13,442nm,442,no_diff,1000,0.0696264760486514,0.11600000000000008,0.04315258532114747,0.02374223384162088,1.1150547544980522,9.99000999000999e-4,0.986598423277794,0.8109621804887465,-1.1307209747765383,no_diff,0.15,0.0696264760486514
band14_447nm,band14,447nm,447,no_diff,1000,0.06691637178145315,0.12600000000000008,0.04242671527299107,0.0221590972580289,1.1051739257829534,9.99000999000999e-4,0.9771543604458146,0.7215240366119527,-1.2615490856528486,no_diff,0.15,0.06691637178145315
band15_452nm,band15,452nm,452,no_diff,1000,0.06596681720255036,0.09800000000000007,0.04202225556634648,0.02202481738489195,1.087162777232777,9.99000999000999e-4,0.9775774713001762,0.7459856041119833,-1.2220217777296138,no_diff,0.15,0.06596681720255036
