species,genus,family,status
Betula lenta,Betula,Betulaceae,prune
Vaccinium angustifolium,Vaccinium,Ericaceae,bind
Trientalis borealis,Trientalis,Primulaceae,prune
Tsuga canadensis,Tsuga,Pinaceae,prune
Aralia nudicaulis,Aralia,Araliaceae,prune
Coptis trifolia,Coptis,Ranunculaceae,prune
Quercus rubra,Quercus,Fagaceae,prune
Medeola virginiana,Medeola,Liliaceae,prune
Mitchella repens,Mitchella,Rubiaceae,prune
Trillium undulatum,Trillium,Melanthiaceae,prune
Uvularia sessilifolia,Uvularia,Colchicaceae,prune
Acer rubrum,Acer,Sapindaceae,prune
Pinus resinosa,Pinus,Pinaceae,prune
Maianthemum canadense,Maianthemum,Asparagaceae,prune
Dennstaedtia punctilobula,Dennstaedtia,Dennstaedtiaceae,prune
Ilex mucronata,Ilex,Aquifoliaceae,prune
Fagus grandifolia,Fagus,Fagaceae,bind
Clintonia borealis,Clintonia,Liliaceae,prune
Pinus strobus,Pinus,Pinaceae,prune
Viburnum acerifolium,Viburnum,Viburnaceae,prune
Gaultheria procumbens,Gaultheria,Ericaceae,prune
Nyssa sylvatica,Nyssa,Nyssaceae,prune
Amelanchier laevis,Amelanchier,Rosaceae,prune
Vaccinium corymbosum,Vaccinium,Ericaceae,prune
Lycopodium obscurum,Lycopodium,Lycopodiaceae,prune
Kalmia latifolia,Kalmia,Ericaceae,prune
Viburnum nudum,Viburnum,Viburnaceae,prune
Monotropa uniflora,Monotropa,Ericaceae,prune
Dryopteris carthusiana,Dryopteris,Dryopteridaceae,prune
Hamamelis virginiana,Hamamelis,Hamamelidaceae,prune
Carex swanii,Carex,Cyperaceae,bind
Corylus cornuta,Corylus,Betulaceae,prune
Carex sp.,Carex,Cyperaceae,bind
Fraxinus americana,Fraxinus,Oleaceae,prune
Rubus flagellaris,Rubus,Rosaceae,prune
Quercus alba,Quercus,Fagaceae,prune
Lycopodium clavatum,Lycopodium,Lycopodiaceae,prune
Osmunda cinnamomea,Osmunda,Osmundaceae,bind
Rubus idaeus,Rubus,Rosaceae,prune
Acer saccharum,Acer,Sapindaceae,prune
Rubus hispidus,Rubus,Rosaceae,bind
Prunus serotina,Prunus,Rosaceae,prune
Acer nigrum,Acer,Sapindaceae,bind
Carex blanda,Carex,Cyperaceae,prune
Viola sp.,Viola,Violaceae,bind
Anemone quinquefolia,Anemone,Ranunculaceae,prune
Lysimachia quadrifolia,Lysimachia,Primulaceae,prune
Carya glabra,Carya,Juglandaceae,prune
Betula papyrifera,Betula,Betulaceae,prune
Rubus sp.,Rubus,Rosaceae,bind
Chimaphila maculata,Chimaphila,Ericaceae,prune
Lysimachia punctata,Lysimachia,Primulaceae,prune
Dryopteris sp.,Dryopteris,Dryopteridaceae,bind
Ilex verticillata,Ilex,Aquifoliaceae,prune
Betula populifolia,Betula,Betulaceae,prune
Bidens frondosa,Bidens,Asteraceae,prune
Betula sp.,Betula,Betulaceae,bind
Impatiens capensis,Impatiens,Balsaminaceae,prune
Polygonum arifolium,Polygonum,Polygonaceae,bind
Arisaema triphyllum,Arisaema,Araceae,prune
Betula alleghaniensis,Betula,Betulaceae,prune
Parthenocissus quinquefolia,Parthenocissus,Vitaceae,prune
Galium tinctorium,Galium,Rubiaceae,prune
Thelypteris palustris,Thelypteris,Thelypteridaceae,bind
Onoclea sensibilis,Onoclea,Onocleaceae,prune
Vaccinium pallidum,Vaccinium,Ericaceae,prune
Gaylussacia baccata,Gaylussacia,Ericaceae,prune
Lyonia ligustrina,Lyonia,Ericaceae,prune
Pteridium aquilinum,Pteridium,Dennstaedtiaceae,prune
Goodyera tesselata,Goodyera,Orchidaceae,bind
Sorbus americana,Sorbus,Rosaceae,prune
Osmunda claytoniana,Osmunda,Osmundaceae,prune
Thelypteris noveboracensis,Thelypteris,Thelypteridaceae,prune
Brachyelytrum aristosum,Brachyelytrum,Poaceae,prune
Kalmia angustifolia,Kalmia,Ericaceae,prune
Lycopodium hickeyi,Lycopodium,Lycopodiaceae,bind
Vitis labrusca,Vitis,Vitaceae,prune
Picea rubens,Picea,Pinaceae,prune
Carya ovata,Carya,Juglandaceae,prune
Berberis thunbergii,Berberis,Berberidaceae,prune
Galium triflorum,Galium,Rubiaceae,prune
Lycopodium sp.,Lycopodium,Lycopodiaceae,bind
Dryopteris intermedia,Dryopteris,Dryopteridaceae,prune
Tiarella cordifolia,Tiarella,Saxifragaceae,prune
Carex pensylvanica,Carex,Cyperaceae,prune
